MJD,m,dm,F,r,delta,alpha
58436.365369611114,18.138,0.101,o,18.733,18.132,2.443
58442.34809061111,18.197,0.129,o,18.734,18.22,2.616
58448.33062461111,18.217,0.11,o,18.736,18.314,2.759
58448.342387611105,18.318,0.155,o,18.736,18.314,2.759
58448.3506916111,18.368,0.12,o,18.736,18.315,2.759
58448.352651611116,18.474,0.146,o,18.736,18.315,2.759
58448.36078461111,18.406,0.138,o,18.736,18.315,2.759
58448.36274761111,18.179,0.126,o,18.736,18.315,2.76
58450.327717611115,18.47,0.1,o,18.737,18.347,2.8
58450.3376286111,18.213,0.065,o,18.737,18.347,2.8
58450.34754261111,18.371,0.08,o,18.737,18.347,2.8
58450.35755061111,18.306,0.076,o,18.737,18.347,2.8
58452.323173611105,18.479,0.101,o,18.737,18.379,2.837
58452.33207061111,18.361,0.098,o,18.737,18.38,2.837
58452.34100161111,18.657,0.124,o,18.737,18.38,2.837
58452.350015611104,18.341,0.095,o,18.737,18.38,2.837
58454.32038961111,18.639,0.081,c,18.738,18.413,2.87
58454.32932161111,18.731,0.078,c,18.738,18.413,2.87
58454.33824961111,18.543,0.07,c,18.738,18.413,2.871
58454.347179611104,18.615,0.069,c,18.738,18.413,2.871
58456.293607611115,18.229,0.076,o,18.739,18.446,2.9
58456.30154461111,18.307,0.07,o,18.739,18.446,2.9
58456.30946061111,18.601,0.12,o,18.739,18.446,2.9
58456.31743361111,18.452,0.092,o,18.739,18.446,2.9
58460.28738261111,18.616,0.093,o,18.74,18.514,2.949
58460.295385611105,18.565,0.095,o,18.74,18.514,2.949
58460.30342061111,18.522,0.084,o,18.74,18.514,2.949
58460.31144861111,18.446,0.079,o,18.74,18.515,2.949
58462.29629761111,18.567,0.079,c,18.74,18.549,2.968
58462.30476461111,18.592,0.078,c,18.74,18.549,2.968
58462.31275161111,18.703,0.094,c,18.74,18.549,2.968
58462.321222611106,18.624,0.093,c,18.74,18.549,2.968
58464.268324611105,18.35,0.081,o,18.741,18.583,2.983
58464.27624861111,18.332,0.078,o,18.741,18.583,2.983
58464.28425561111,18.466,0.091,o,18.741,18.583,2.983
58464.292226611105,18.424,0.096,o,18.741,18.584,2.984
58470.27674261112,18.429,0.12,o,18.743,18.688,3.007
58470.281865611105,18.418,0.148,o,18.743,18.688,3.007
58472.26922261111,18.256,0.144,o,18.743,18.723,3.008
58474.26402161111,18.043,0.099,o,18.744,18.758,3.005
58474.27235861111,18.335,0.131,o,18.744,18.759,3.005
58474.27924361111,18.418,0.142,o,18.744,18.759,3.005
58474.285691611105,18.267,0.144,o,18.744,18.759,3.005
58474.28614861111,18.467,0.143,o,18.744,18.759,3.005
58476.23256361111,18.355,0.115,o,18.744,18.793,2.998
58476.239225611105,18.311,0.138,o,18.744,18.793,2.998
58476.252764611105,18.252,0.117,o,18.744,18.793,2.998
58478.22920761111,18.388,0.063,o,18.745,18.828,2.988
58478.236176611106,18.499,0.114,o,18.745,18.828,2.988
58478.24981061111,18.283,0.09,o,18.745,18.828,2.988
58480.21438161111,18.241,0.089,o,18.745,18.862,2.974
58480.23073361111,18.348,0.11,o,18.745,18.863,2.974
58486.252226611105,18.763,0.103,c,18.747,18.966,2.912
58486.260654611106,18.694,0.107,c,18.747,18.967,2.912
58486.26863861111,18.793,0.093,c,18.747,18.967,2.912
58486.27708661112,18.764,0.114,c,18.747,18.967,2.912
58488.2040146111,18.43,0.154,o,18.748,19.0,2.885
58488.21091761111,18.618,0.125,o,18.748,19.0,2.885
58488.219197611106,18.521,0.103,o,18.748,19.0,2.884
58488.22720061111,18.493,0.105,o,18.748,19.0,2.884
58490.2391526111,18.754,0.119,c,18.748,19.034,2.853
58490.2477796111,18.702,0.106,c,18.748,19.034,2.853
58490.25591061111,18.709,0.11,c,18.748,19.034,2.853
58490.2643546111,18.516,0.091,c,18.748,19.034,2.853
58492.22265861111,18.425,0.098,o,18.749,19.067,2.819
58492.23100561112,18.377,0.098,o,18.749,19.067,2.819
58492.23835661111,18.465,0.104,o,18.749,19.067,2.819
58492.2454506111,18.485,0.117,o,18.749,19.067,2.819
58494.241138611105,18.487,0.122,c,18.749,19.1,2.781
58498.21729361111,18.497,0.127,o,18.75,19.164,2.697
58498.217751611104,18.314,0.099,o,18.75,19.164,2.697
58498.229190611106,18.35,0.108,o,18.75,19.164,2.697
58498.23751961111,18.334,0.108,o,18.75,19.164,2.696
58500.21689861111,18.258,0.134,o,18.751,19.195,2.65
58506.23458461111,18.564,0.133,o,18.752,19.286,2.491
58506.24093461111,18.545,0.09,o,18.752,19.286,2.491
58506.24674561111,18.398,0.108,o,18.752,19.286,2.491
58506.252122611106,18.379,0.1,o,18.752,19.286,2.491
58508.2325736111,18.564,0.138,o,18.753,19.315,2.433
58508.23939361111,18.426,0.143,o,18.753,19.315,2.433
58508.24513061111,18.389,0.121,o,18.753,19.315,2.432
58508.25032361111,18.422,0.135,o,18.753,19.315,2.432
58630.582352611105,18.441,0.133,o,18.784,19.256,2.702
58630.59507261111,18.299,0.118,o,18.784,19.256,2.702
58636.595550611106,18.559,0.13,o,18.785,19.168,2.838
58636.59884761111,18.548,0.13,o,18.785,19.168,2.838
58644.5393796111,18.518,0.117,o,18.787,19.045,2.976
58644.54907861111,18.377,0.117,o,18.787,19.045,2.976
58644.55866961111,18.732,0.155,o,18.787,19.044,2.976
58646.53327261111,18.477,0.093,o,18.788,19.013,3.003
58646.53648261111,18.48,0.112,o,18.788,19.013,3.003
58646.5423286111,18.345,0.08,o,18.788,19.013,3.003
58646.5518886111,18.685,0.112,o,18.788,19.013,3.003
58648.596276611104,18.557,0.12,o,18.788,18.98,3.028
58648.599533611115,18.702,0.147,o,18.788,18.98,3.028
58648.606943611114,18.635,0.146,o,18.788,18.98,3.028
58650.60334661111,18.527,0.142,o,18.788,18.948,3.048
58650.60849661111,18.417,0.104,o,18.788,18.947,3.048
58650.61319861111,18.408,0.103,o,18.788,18.947,3.048
58654.5716546111,18.35,0.113,o,18.789,18.883,3.079
58654.5753536111,18.531,0.131,o,18.789,18.883,3.079
58654.58228061111,18.42,0.094,o,18.789,18.883,3.079
58654.59370861111,18.394,0.089,o,18.789,18.883,3.079
58656.57478161111,18.359,0.13,o,18.79,18.85,3.09
58656.58563361112,18.311,0.125,o,18.79,18.85,3.09
58660.5074656111,18.306,0.135,o,18.791,18.785,3.102
58666.58354661111,18.761,0.087,c,18.792,18.685,3.093
58666.58816061111,18.813,0.096,c,18.792,18.685,3.093
58666.593203611104,18.806,0.092,c,18.792,18.685,3.093
58666.60968461112,18.6,0.082,c,18.792,18.685,3.093
58668.61843561111,18.385,0.133,o,18.793,18.652,3.083
58676.53914261112,18.505,0.081,o,18.794,18.523,3.01
58676.54283061111,18.494,0.083,o,18.794,18.523,3.01
58676.54982261111,18.43,0.076,o,18.794,18.523,3.01
58676.56028861111,18.556,0.09,o,18.794,18.523,3.01
58678.54495761111,18.4,0.11,o,18.795,18.491,2.983
58678.54874161111,18.371,0.092,o,18.795,18.491,2.983
58678.55476761112,18.719,0.134,o,18.795,18.491,2.983
58678.564901611106,18.582,0.109,o,18.795,18.491,2.983
58680.59833661111,18.15,0.111,o,18.795,18.459,2.952
58682.5396396111,18.372,0.132,o,18.796,18.428,2.919
58688.61033061111,18.392,0.108,o,18.797,18.336,2.796
58688.61808361111,18.287,0.115,o,18.797,18.336,2.796
58688.621341611106,18.259,0.114,o,18.797,18.336,2.796
58690.569839611104,18.463,0.07,o,18.797,18.307,2.75
58690.57335761111,18.455,0.077,o,18.797,18.307,2.749
58690.579625611106,18.432,0.069,o,18.797,18.307,2.749
58690.59074661111,18.435,0.085,o,18.797,18.307,2.749
58692.61088661111,18.631,0.088,o,18.798,18.278,2.698
58692.620848611106,18.455,0.093,o,18.798,18.278,2.698
58692.62398361111,18.526,0.124,o,18.798,18.278,2.698
58694.626134611106,18.615,0.114,c,18.798,18.249,2.644
58696.5462876111,18.353,0.086,o,18.799,18.223,2.589
58696.549147611106,18.313,0.073,o,18.799,18.223,2.589
58696.55579661111,18.407,0.084,o,18.799,18.223,2.589
58696.567050611106,18.664,0.108,o,18.799,18.222,2.588
58700.53616761111,18.437,0.077,o,18.799,18.169,2.466
58700.54017061111,18.549,0.096,o,18.799,18.169,2.466
58700.54705061111,18.298,0.07,o,18.799,18.169,2.466
58700.557164611106,18.295,0.072,o,18.799,18.169,2.466
58702.557740611104,18.576,0.062,c,18.8,18.143,2.399
58702.561761611105,18.441,0.057,c,18.8,18.143,2.399
58702.568276611106,18.594,0.066,c,18.8,18.143,2.399
58702.5791156111,18.525,0.055,c,18.8,18.143,2.399
58706.552348611105,18.648,0.067,c,18.801,18.094,2.259
58706.555636611105,18.48,0.076,c,18.801,18.094,2.258
58706.563162611106,18.599,0.08,c,18.801,18.094,2.258
58708.51007661111,18.436,0.148,o,18.801,18.071,2.186
58708.51315261111,18.511,0.143,o,18.801,18.071,2.186
58718.58489861111,18.347,0.07,o,18.803,17.966,1.771
58718.589020611114,18.38,0.071,o,18.803,17.966,1.771
58718.59564061111,18.313,0.077,o,18.803,17.966,1.77
58718.60819661111,18.305,0.074,o,18.803,17.966,1.77
58720.61541961111,18.335,0.061,o,18.804,17.948,1.68
58720.6191776111,18.355,0.056,o,18.804,17.948,1.68
58720.624380611116,18.524,0.093,o,18.804,17.948,1.68
58720.6281646111,18.287,0.071,o,18.804,17.948,1.68
58724.53707461111,18.303,0.061,o,18.804,17.916,1.499
58724.5411666111,18.347,0.065,o,18.804,17.916,1.499
58724.548055611114,18.385,0.063,o,18.804,17.915,1.498
58724.5622296111,18.3,0.069,o,18.804,17.915,1.498
58726.456453611114,18.615,0.076,c,18.805,17.901,1.408
58726.46826761111,18.491,0.083,c,18.805,17.901,1.407
58726.47150661112,18.48,0.09,c,18.805,17.901,1.407
58726.47821461111,18.418,0.068,c,18.805,17.901,1.406
58726.48958161111,18.441,0.083,c,18.805,17.901,1.406
58730.63380961111,18.41,0.079,c,18.806,17.873,1.203
58730.63717261111,18.361,0.115,c,18.806,17.873,1.203
58736.434295611114,18.168,0.072,o,18.807,17.843,0.91
58736.43810761111,18.255,0.083,o,18.807,17.843,0.91
58736.44412361111,18.112,0.074,o,18.807,17.843,0.91
58736.454756611114,18.325,0.094,o,18.807,17.842,0.909
58745.550116611106,18.16,0.084,o,18.809,17.814,0.444
58745.55379961111,18.225,0.088,o,18.809,17.814,0.443
58745.55933961111,18.283,0.111,o,18.809,17.814,0.443
58745.56960861111,17.962,0.078,o,18.809,17.814,0.442
58750.52886461111,18.278,0.061,c,18.81,17.809,0.22
58750.5318146111,18.346,0.059,c,18.81,17.809,0.22
58750.541777611106,18.293,0.062,c,18.81,17.809,0.22
58750.547666611106,18.349,0.062,c,18.81,17.809,0.219
58752.44929361111,18.009,0.038,o,18.81,17.809,0.174
58752.452541611114,18.044,0.038,o,18.81,17.809,0.174
58752.45775761111,18.01,0.04,o,18.81,17.809,0.174
58752.4676546111,17.978,0.042,o,18.81,17.809,0.174
58756.419207611114,18.173,0.056,o,18.811,17.812,0.25
58756.42467461111,18.066,0.057,o,18.811,17.812,0.25
58756.43532761111,18.097,0.051,o,18.811,17.812,0.251
58756.4393776111,18.043,0.047,o,18.811,17.812,0.251
58760.47556161111,18.005,0.055,o,18.811,17.821,0.438
58760.47878661111,18.192,0.075,o,18.811,17.821,0.438
58760.48570861111,18.037,0.073,o,18.811,17.821,0.438
58762.2780276111,18.223,0.09,o,18.812,17.826,0.528
58762.28412861111,18.143,0.071,o,18.812,17.826,0.529
58762.29129361111,18.286,0.077,o,18.812,17.826,0.529
58762.29494761111,18.253,0.085,o,18.812,17.826,0.529
58763.50819761111,18.428,0.068,c,18.812,17.831,0.591
58763.5117796111,18.359,0.057,c,18.812,17.831,0.592
58763.53220961111,18.32,0.052,c,18.812,17.831,0.593
58763.5386896111,18.395,0.061,c,18.812,17.831,0.593
58764.34925961111,18.425,0.154,o,18.812,17.834,0.634
58764.35248561111,18.028,0.097,o,18.812,17.834,0.635
58764.354431611115,18.144,0.069,o,18.812,17.834,0.635
58764.35859661111,18.312,0.093,o,18.812,17.834,0.635
58764.36396561111,18.21,0.104,o,18.812,17.834,0.635
58764.36960761111,18.169,0.093,o,18.812,17.834,0.636
58764.37383261111,18.148,0.079,o,18.812,17.834,0.636
58772.410445611116,18.257,0.084,o,18.814,17.875,1.047
58772.41433661112,18.097,0.078,o,18.814,17.875,1.047
58772.42033661111,18.191,0.104,o,18.814,17.875,1.047
58772.43201661111,18.473,0.117,o,18.814,17.875,1.048
58773.38237361111,18.391,0.139,o,18.814,17.881,1.096
58773.400199611104,18.091,0.097,o,18.814,17.881,1.096
58774.399323611106,18.38,0.109,o,18.814,17.888,1.146
58774.40253661111,18.394,0.102,o,18.814,17.888,1.147
58774.40768761111,18.303,0.078,o,18.814,17.888,1.147
58774.4188526111,18.26,0.084,o,18.814,17.888,1.147
58777.38679661111,18.275,0.149,o,18.815,17.91,1.294
58777.475363611105,18.136,0.068,o,18.815,17.91,1.298
58778.363362611104,18.535,0.077,c,18.815,17.917,1.341
58778.36611061111,18.371,0.067,c,18.815,17.917,1.341
58778.3728786111,18.751,0.096,c,18.815,17.917,1.341
58778.386045611114,18.677,0.077,c,18.815,17.917,1.342
58780.34624461112,18.321,0.06,o,18.815,17.933,1.436
58780.3499416111,18.239,0.052,o,18.815,17.933,1.436
58780.35643661111,18.305,0.062,o,18.815,17.934,1.436
58780.3685796111,18.329,0.062,o,18.815,17.934,1.437
58784.38408161111,18.399,0.063,o,18.816,17.97,1.623
58784.388131611115,18.274,0.048,o,18.816,17.97,1.624
58784.394765611105,18.368,0.058,o,18.816,17.97,1.624
58784.4049256111,18.3,0.065,o,18.816,17.97,1.624
58788.347352611105,18.36,0.094,o,18.817,18.01,1.799
58788.35106861111,18.554,0.08,o,18.817,18.01,1.799
58788.356226611104,18.303,0.093,o,18.817,18.01,1.799
58790.29018461111,18.299,0.062,o,18.817,18.031,1.882
58790.294343611116,18.374,0.078,o,18.817,18.031,1.882
58790.3010546111,18.417,0.065,o,18.817,18.031,1.882
58790.31277761111,18.198,0.067,o,18.817,18.031,1.883
58791.37857261111,18.247,0.07,o,18.817,18.043,1.927
58791.393356611115,18.271,0.067,o,18.817,18.043,1.928
58791.39694961112,18.359,0.072,o,18.817,18.043,1.928
58792.35817261111,18.649,0.134,o,18.817,18.054,1.967
58792.3703026111,18.449,0.083,o,18.817,18.054,1.968
58792.37408061112,18.347,0.084,o,18.817,18.054,1.968
58792.376387611104,18.495,0.096,o,18.817,18.054,1.968
58792.37969361111,18.369,0.073,o,18.817,18.054,1.968
58792.38968661111,18.353,0.108,o,18.817,18.055,1.968
58799.32964461111,18.278,0.143,o,18.819,18.14,2.234
58799.34627161111,18.496,0.153,o,18.819,18.14,2.235
58799.35468661111,18.306,0.125,o,18.819,18.14,2.235
58800.39768561111,18.289,0.113,o,18.819,18.154,2.272
58800.40047361112,18.483,0.128,o,18.819,18.154,2.272
58800.406609611106,18.339,0.118,o,18.819,18.154,2.272
58800.4177786111,18.517,0.127,o,18.819,18.154,2.273
58801.43233061111,18.184,0.099,o,18.819,18.168,2.308
58801.4361546111,18.219,0.086,o,18.819,18.168,2.308
58801.44161861111,18.716,0.122,o,18.819,18.168,2.308
58801.452491611104,18.194,0.094,o,18.819,18.168,2.308
58802.366462611106,18.253,0.094,o,18.819,18.181,2.339
58802.369732611114,18.394,0.094,o,18.819,18.181,2.34
58802.3759906111,18.304,0.091,o,18.819,18.181,2.34
58802.386156611115,18.474,0.104,o,18.819,18.181,2.34
58808.334569611114,18.499,0.076,o,18.82,18.265,2.525
58808.337378611104,18.255,0.053,o,18.82,18.265,2.526
58808.34389261111,18.461,0.068,o,18.82,18.266,2.526
58808.35501861111,18.391,0.066,o,18.82,18.266,2.526
58812.28623561111,18.378,0.084,o,18.821,18.325,2.633
58812.2899546111,18.422,0.068,o,18.821,18.325,2.633
58812.29550661111,18.366,0.058,o,18.821,18.325,2.633
58812.30531061111,18.392,0.065,o,18.821,18.325,2.633
58814.29059561111,18.646,0.077,c,18.821,18.356,2.682
58814.29380961111,18.655,0.086,c,18.821,18.356,2.682
58814.29994761111,18.57,0.075,c,18.821,18.356,2.682
58814.312775611106,18.571,0.091,c,18.821,18.356,2.682
58816.31291761111,18.367,0.062,o,18.822,18.388,2.728
58816.31615861112,18.356,0.063,o,18.822,18.388,2.728
58816.321774611104,18.377,0.061,o,18.822,18.388,2.728
58816.332081611115,18.363,0.065,o,18.822,18.388,2.728
58820.25259461112,18.29,0.076,o,18.822,18.452,2.808
58825.28981761112,18.313,0.101,o,18.823,18.535,2.889
58825.293040611105,18.308,0.105,o,18.823,18.535,2.889
58825.3103296111,18.478,0.135,o,18.823,18.536,2.889
58828.248614611104,18.428,0.138,o,18.824,18.585,2.926
58828.251841611105,18.194,0.117,o,18.824,18.586,2.926
58828.2579386111,18.267,0.09,o,18.824,18.586,2.926
58828.26856761112,18.383,0.12,o,18.824,18.586,2.926
58830.27317461111,18.198,0.12,o,18.824,18.62,2.947
58830.28424261112,18.368,0.147,o,18.824,18.62,2.947
58832.295816611106,18.206,0.083,o,18.824,18.655,2.964
58832.2991406111,18.676,0.146,o,18.824,18.655,2.964
58832.3051276111,18.449,0.116,o,18.824,18.655,2.964
58836.25903161111,18.458,0.056,o,18.825,18.724,2.986
58836.26200261111,18.58,0.073,o,18.825,18.724,2.986
58836.26758161112,18.466,0.06,o,18.825,18.724,2.986
58836.2776016111,18.586,0.058,o,18.825,18.724,2.986
58844.240900611105,18.354,0.072,o,18.826,18.863,2.987
58844.2436896111,18.359,0.075,o,18.826,18.863,2.987
58844.2489766111,18.48,0.092,o,18.826,18.863,2.987
58844.25880761111,18.409,0.079,o,18.826,18.863,2.987
58846.233474611116,18.714,0.07,c,18.827,18.898,2.979
58846.23670861111,18.625,0.087,c,18.827,18.898,2.979
58846.242748611105,18.791,0.089,c,18.827,18.898,2.979
58846.252937611105,18.554,0.078,c,18.827,18.898,2.978
58852.22502361111,18.533,0.106,o,18.828,19.001,2.931
58852.227835611106,18.47,0.087,o,18.828,19.001,2.931
58852.23384261112,18.462,0.103,o,18.828,19.001,2.931
58852.24366061111,18.48,0.094,o,18.828,19.002,2.931
58872.23145261111,18.493,0.106,o,18.831,19.325,2.556
58872.2346776111,18.477,0.101,o,18.831,19.325,2.556
58872.240205611124,18.468,0.102,o,18.831,19.325,2.556
58872.250850611104,18.439,0.109,o,18.831,19.325,2.555
58874.243163611114,18.907,0.123,c,18.831,19.355,2.501
58874.25307661111,18.547,0.098,c,18.831,19.355,2.501
58880.23291461111,18.578,0.102,o,18.832,19.44,2.322
58989.5926636111,18.584,0.138,o,18.847,19.457,2.418
58989.59682461111,18.454,0.115,o,18.847,19.457,2.418
58989.60425961111,18.679,0.139,o,18.847,19.457,2.419
58997.58738961111,18.509,0.119,o,18.848,19.348,2.646
58997.59157261111,18.296,0.09,o,18.848,19.348,2.646
58997.60685761112,18.493,0.151,o,18.848,19.348,2.647
58998.5825786111,18.786,0.113,c,18.848,19.334,2.672
59024.59541061111,18.581,0.077,o,18.851,18.926,3.076
59024.601565611105,18.434,0.06,o,18.851,18.926,3.076
59024.605714611105,18.224,0.062,o,18.851,18.926,3.076
59024.61785861111,18.38,0.11,o,18.851,18.926,3.076
59028.56607461111,18.402,0.043,o,18.851,18.86,3.09
59028.571603611104,18.409,0.059,o,18.851,18.86,3.09
59028.5828396111,18.479,0.066,o,18.851,18.86,3.09
59028.591701611105,18.403,0.066,o,18.851,18.86,3.09
59030.570724611105,18.891,0.104,c,18.852,18.827,3.092
59030.57486761111,18.918,0.098,c,18.852,18.827,3.092
59030.58174761111,18.769,0.082,c,18.852,18.827,3.092
59030.601540611104,18.595,0.073,c,18.852,18.826,3.092
59032.5817876111,18.427,0.062,o,18.852,18.794,3.091
59032.58500861111,18.513,0.062,o,18.852,18.794,3.091
59032.60439361112,18.387,0.058,o,18.852,18.793,3.091
59032.614528611106,18.398,0.071,o,18.852,18.793,3.091
59033.58159761111,18.356,0.087,o,18.852,18.777,3.089
59033.58901761111,18.528,0.088,o,18.852,18.777,3.089
59033.61190561111,18.381,0.064,o,18.852,18.776,3.089
59033.61393761111,18.333,0.064,o,18.852,18.776,3.089
59036.5318646111,18.56,0.146,o,18.852,18.728,3.078
59036.53879661111,18.564,0.127,o,18.852,18.728,3.078
59036.55071961112,18.535,0.146,o,18.852,18.728,3.078
59036.55671061111,18.421,0.108,o,18.852,18.728,3.078
59038.52435861111,18.642,0.147,o,18.853,18.695,3.067
59038.52759761111,18.54,0.129,o,18.853,18.695,3.067
59038.54158261111,18.442,0.108,o,18.853,18.695,3.067
59038.54803761111,18.362,0.101,o,18.853,18.695,3.067
59044.55780861111,18.46,0.138,o,18.853,18.597,3.011
59044.56706861111,18.303,0.115,o,18.853,18.596,3.011
59048.560538611106,18.555,0.104,o,18.854,18.532,2.957
59048.56608061111,18.432,0.072,o,18.854,18.532,2.957
59048.56930761111,18.465,0.093,o,18.854,18.532,2.957
59048.58144261112,18.365,0.073,o,18.854,18.532,2.956
59050.513234611106,18.58,0.08,c,18.854,18.501,2.925
59050.52796961111,18.511,0.066,c,18.854,18.501,2.925
59050.54607761111,18.724,0.082,c,18.854,18.501,2.925
59050.552566611106,18.657,0.073,c,18.854,18.501,2.925
59051.580255611116,18.713,0.085,c,18.854,18.485,2.907
59051.583939611104,18.412,0.061,c,18.854,18.485,2.907
59051.60560661111,18.725,0.074,c,18.854,18.484,2.906
59051.60835661112,18.667,0.065,c,18.854,18.484,2.906
59052.57763261111,18.386,0.067,o,18.854,18.469,2.888
59052.580954611105,18.462,0.063,o,18.854,18.469,2.888
59052.6038166111,18.513,0.064,o,18.854,18.469,2.888
59052.6202776111,18.296,0.065,o,18.854,18.468,2.888
59058.515791611106,18.555,0.064,c,18.855,18.379,2.763
59058.519053611104,18.764,0.072,c,18.855,18.379,2.762
59058.522301611105,18.619,0.068,c,18.855,18.379,2.762
59058.52921961111,18.652,0.085,c,18.855,18.379,2.762
59060.49372661111,18.386,0.059,o,18.855,18.35,2.714
59060.4974266111,18.542,0.073,o,18.855,18.35,2.714
59060.501108611104,18.515,0.065,o,18.855,18.35,2.714
59060.50618361111,18.548,0.073,o,18.855,18.35,2.714
59062.4562296111,18.576,0.117,o,18.855,18.322,2.663
59062.4626516111,18.295,0.091,o,18.855,18.321,2.663
59062.46763561111,18.283,0.095,o,18.855,18.321,2.663
59062.479637611104,18.417,0.106,o,18.855,18.321,2.662
59064.52308361111,18.249,0.123,o,18.855,18.292,2.606
59064.52676861111,18.497,0.141,o,18.855,18.292,2.606
59064.53091961111,18.53,0.152,o,18.855,18.292,2.606
59064.537830611116,18.4,0.126,o,18.855,18.292,2.606
59072.57149461111,18.361,0.071,o,18.856,18.185,2.352
59072.57558861111,18.212,0.068,o,18.856,18.185,2.352
59072.58118161111,18.343,0.076,o,18.856,18.185,2.352
59072.61675661111,18.359,0.076,o,18.856,18.185,2.35
59074.58846061111,18.312,0.064,o,18.856,18.16,2.281
59074.59214461111,18.288,0.07,o,18.856,18.16,2.281
59074.59728261112,18.286,0.072,o,18.856,18.16,2.28
59074.611690611106,18.481,0.093,o,18.856,18.16,2.28
59076.50258461111,18.42,0.053,o,18.856,18.137,2.211
59076.50628161111,18.497,0.066,o,18.856,18.137,2.211
59076.51276461111,18.441,0.062,o,18.856,18.137,2.21
59076.53780861111,18.382,0.071,o,18.856,18.137,2.209
59078.50963361111,18.536,0.07,c,18.856,18.114,2.134
59078.514863611104,18.633,0.082,c,18.856,18.114,2.134
59078.5180786111,18.608,0.07,c,18.856,18.114,2.134
59078.528166611104,18.671,0.08,c,18.856,18.114,2.134
59080.44206161111,18.499,0.071,o,18.857,18.092,2.058
59080.47397661111,18.324,0.054,o,18.857,18.092,2.057
59080.480629611106,18.348,0.076,o,18.857,18.092,2.057
59082.4821256111,18.768,0.077,c,18.857,18.07,1.976
59082.4853416111,18.573,0.071,c,18.857,18.07,1.975
59082.488085611105,18.489,0.066,c,18.857,18.07,1.975
59082.49944761111,18.582,0.063,c,18.857,18.07,1.975
59082.50413261111,18.608,0.062,c,18.857,18.07,1.975
59082.51194861111,18.589,0.054,c,18.857,18.07,1.974
59082.51514961111,18.561,0.058,c,18.857,18.07,1.974
59082.52024561111,18.573,0.064,c,18.857,18.07,1.974
59084.46595361111,18.381,0.048,o,18.857,18.05,1.892
59084.47433561111,18.41,0.053,o,18.857,18.05,1.892
59084.477107611114,18.409,0.058,o,18.857,18.05,1.892
59084.49618061112,18.385,0.06,o,18.857,18.049,1.891
59086.4799536111,18.477,0.062,c,18.857,18.03,1.806
59086.48178361111,18.608,0.064,c,18.857,18.03,1.806
59086.48454061111,18.549,0.07,c,18.857,18.03,1.806
59086.49331461111,18.511,0.072,c,18.857,18.03,1.805
59088.47926861111,18.302,0.058,o,18.857,18.011,1.718
59088.48110961111,18.249,0.047,o,18.857,18.011,1.717
59088.48388461111,18.384,0.06,o,18.857,18.011,1.717
59088.4889536111,18.283,0.05,o,18.857,18.011,1.717
59090.475061611105,18.357,0.093,o,18.857,17.994,1.627
59090.48067561111,18.271,0.08,o,18.857,17.993,1.627
59090.48344861111,18.296,0.079,o,18.857,17.993,1.627
59090.502359611106,18.155,0.068,o,18.857,17.993,1.626
59092.432740611104,17.995,0.103,o,18.858,17.977,1.537
59092.43458461111,18.273,0.111,o,18.858,17.977,1.537
59092.43734661111,18.373,0.152,o,18.858,17.977,1.537
59092.44748361111,18.209,0.095,o,18.858,17.977,1.536
59100.41349761111,18.246,0.061,o,18.858,17.921,1.15
59100.41533861111,18.198,0.061,o,18.858,17.921,1.15
59100.426427611106,18.135,0.062,o,18.858,17.921,1.15
59100.43475761112,18.157,0.069,o,18.858,17.921,1.149
59101.4488796111,18.313,0.066,o,18.858,17.915,1.098
59101.4507276111,18.388,0.057,o,18.858,17.915,1.098
59101.453492611116,18.171,0.055,o,18.858,17.915,1.098
59101.45857061112,18.265,0.058,o,18.858,17.915,1.098
59102.44958361111,18.23,0.069,o,18.858,17.909,1.048
59102.45279961111,18.183,0.064,o,18.858,17.909,1.048
59102.45558761111,18.224,0.057,o,18.858,17.909,1.048
59102.4606526111,18.227,0.055,o,18.859,17.909,1.047
59104.448892611115,18.239,0.056,o,18.859,17.899,0.946
59104.457225611106,18.148,0.054,o,18.859,17.899,0.946
59104.459072611106,18.138,0.049,o,18.859,17.899,0.946
59104.46921661111,18.203,0.06,o,18.859,17.899,0.945
59106.49875261111,18.492,0.096,c,18.859,17.89,0.841
59106.502880611115,18.275,0.054,c,18.859,17.89,0.84
59106.5378546111,18.368,0.055,c,18.859,17.89,0.839
59106.53923261111,18.303,0.07,c,18.859,17.89,0.839
59106.542202611105,18.406,0.066,c,18.859,17.889,0.838
59106.56917161111,18.333,0.057,c,18.859,17.889,0.837
59108.37537161111,18.193,0.056,o,18.859,17.882,0.744
59108.40574261111,18.24,0.052,o,18.859,17.882,0.742
59108.4095646111,18.209,0.069,o,18.859,17.882,0.742
59108.41235961111,18.127,0.056,o,18.859,17.882,0.742
59110.352314611104,18.412,0.083,c,18.859,17.876,0.641
59110.380639611096,18.336,0.073,c,18.859,17.875,0.64
59110.39504561111,18.396,0.086,c,18.859,17.875,0.639
59110.39597461111,18.266,0.073,c,18.859,17.875,0.639
59110.39967461111,18.425,0.108,c,18.859,17.875,0.639
59110.40104761111,18.341,0.079,c,18.859,17.875,0.639
59110.406154611104,18.348,0.092,c,18.859,17.875,0.638
59110.43395561112,18.392,0.069,c,18.859,17.875,0.637
59112.423590611106,18.151,0.061,o,18.859,17.87,0.534
59112.42543461111,18.257,0.065,o,18.859,17.87,0.534
59112.42960661111,18.132,0.056,o,18.859,17.87,0.534
