MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs,delta,r,alpha,reduced_mag,reduced_dmag,MJDCorrected,3sig limiting mag
57366.26814199999,18.498,0.193,145,28,o,0,0.93,346.12354,-1.14516,6551.07,7992.83,3.95,3.66,-87.0,-0.457,18.73,20.14,02a57366o0112o,18.2272526421628,18.23916559103,3.0941,5.889369102530669,0.193,57366.16287016823,24.493303590681407
57366.279801,18.559,0.20199999999999999,137,28,o,0,1.02,346.12368,-1.14516,5679.88,6832.45,3.87,3.55,-76.4,-0.45899999999999996,18.72,20.1,02a57366o0131o,18.2274626553777,18.23917291566,3.094,5.950343211074392,0.20199999999999999,57366.17452795529,24.443818439584284
57366.294760000004,18.26,0.163,180,29,o,0,1.07,346.12386000000004,-1.14517,5385.23,8586.74,4.16,3.96,-67.1,-0.43200000000000005,18.62,20.07,02a57366o0155o,18.2277323615186,18.23918231343,3.094,5.651309961849684,0.163,57366.18948539761,24.676727852190947
57382.247934000006,17.833,0.263,267,70,o,0,1.37,346.43005,-1.10291,4601.65,8868.98,3.84,3.71,84.3,-0.434,18.21,19.12,02a57382o0022o,18.5086102950776,18.24916499639,2.9567,5.1899159545078675,0.263,57382.14103718196,24.157307491976447
57383.202289,18.32,0.267,171,46,o,0,0.88,346.4549,-1.09743,5709.83,8295.64,4.32,3.92,-84.4,-0.46299999999999997,18.43,19.76,02a57383o0041o,18.5249132902228,18.24975967195,2.9414,5.674933332363832,0.267,57383.095298023705,24.140918709789403
57383.216143,18.632,0.231,128,30,o,0,1.1,346.45526,-1.09735,4838.99,7127.92,4.68,4.27,-72.5,-0.46,18.69,20.39,02a57383o0063o,18.5251510760803,18.24976830253,2.9412,5.98690443259358,0.231,57383.109150650365,24.29816691347048
57383.230519000004,18.349,0.23,166,38,o,0,1.04,346.45563,-1.0972600000000001,4545.24,8876.32,4.98,4.75,-68.2,-0.391,18.38,19.97,02a57383o0085o,18.525398080595,18.24977725823,2.941,5.703874413922708,0.23,57383.12352522379,24.30287727315686
57398.211961,18.565,0.24,136,33,c,0,0.99,346.93376,-0.96944,4633.13,7904.81,3.88,3.72,71.5,-0.425,18.87,20.24,02a57398o0038c,18.7681954479808,18.25907521296,2.6035,5.890493524899334,0.24,57398.10356494314,24.256668758921826
57398.219421,18.266,0.13699999999999998,179,25,c,0,1.09,346.93404,-0.96936,4933.14,8488.82,3.78,3.65,60.9,-0.433,19.05,20.6,02a57398o0050c,18.7683101101012,18.2590798255,2.6032,5.591479710030949,0.13699999999999998,57398.11102428091,24.865395445309826
57398.233541999994,18.282,0.134,177,24,c,0,1.13,346.93455,-0.9692,4090.98,7320.64,3.88,3.69,-80.5,-0.439,19.08,20.66,02a57398o0072c,18.7685272953373,18.25908855651,2.6029,5.6074535437478055,0.134,57398.12514402655,24.889434867288823
57398.249756,18.655,0.18600000000000003,125,23,c,0,1.23,346.93515,-0.9690200000000001,3825.41,9065.87,3.74,3.68,-83.8,-0.426,18.97,20.51,02a57398o0087c,18.7687768770958,18.25909858153,2.6024,5.980423475713854,0.18600000000000003,57398.14135658508,24.53341450265605
57399.231188,18.517,0.162,142,23,c,0,1.24,346.97195,-0.958,4013.02,7341.91,3.9,3.72,-68.5,-0.43799999999999994,18.98,20.54,02a57399o0069c,18.7836037758337,18.25970524445,2.5743,5.840636593557161,0.162,57399.12270295206,24.683409326844266
57574.610297,18.386,0.10300000000000001,161,16,c,0,0.94,353.69656000000003,1.9563700000000002,7149.62,6274.17,3.84,3.47,89.6,-0.41100000000000003,19.52,21.47,02a57574o0620c,18.0116405399944,18.36330068139,3.0069,5.788479917234456,0.10300000000000001,57574.50627043988,25.175103801437913
57578.59989500001,18.421,0.095,155,15,c,0,0.93,353.65891,1.95213,4294.67,6515.85,3.77,3.54,-68.3,-0.40700000000000003,19.65,21.68,02a57578o0594c,17.9515951864655,18.36554562745,2.9316,5.830465591599147,0.095,57578.49621523293,25.262887849978725
57578.615820000006,18.695,0.13699999999999998,121,16,c,0,0.99,353.65872,1.9521,6256.33,3969.57,3.97,3.73,3.0,-0.389,19.29,21.02,02a57578o0619c,17.9513586244547,18.3655545785,2.9312,6.104493148615955,0.13699999999999998,57578.512141599196,24.865395445309826
57591.539983,17.864,0.152,260,40,o,0,1.06,353.45294,1.8990900000000002,5091.76,5096.74,3.48,3.22,-74.4,-0.46399999999999997,18.28,19.07,02a57591o0557o,17.7704125773433,18.37279286395,2.5955,5.294636551111328,0.152,57591.43734965641,24.752587893338912
57591.554376,18.025,0.177,224,40,o,0,1.13,353.45263,1.899,5107.32,5136.68,3.48,3.27,-80.7,-0.478,18.33,19.11,02a57591o0582o,17.7702240356041,18.37280089584,2.595,5.455658640984703,0.177,57591.451743745325,24.587263697296326
